id,English name,Korean name
167,A pig shell ,"껍데기, 돼지껍데기"
168,Spicy Sea Snails,골뱅이무침
169,Shabu-shabu,샤부샤부
170,Pork butt,목살
171,Skirt steak,갈매기살
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
